id,timestamp,user_id,action,reason,price_sek,target_power_kw,reported_soc,house_base_load_kw
27270,2026-03-06 13:25:49.733331+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.6578,0,88,3
27268,2026-03-06 13:20:48.616315+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.20 kW),0.6578,0,87,3
27266,2026-03-06 13:15:47.6015+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Laddar solöverskott (1.21 kW),0.6578,0,91,3
27264,2026-03-06 13:10:47.391401+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (0.01 kW),0.542,0,94,3
27262,2026-03-06 13:05:47.591277+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (0.61 kW),0.542,0,97,3
27260,2026-03-06 13:00:47.502785+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (1.21 kW),0.542,0,100,3
27258,2026-03-06 12:55:46.602657+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (2.50 kW),0.6053,0,100,3
27256,2026-03-06 12:50:46.371109+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (2.50 kW),0.6053,0,100,3
27254,2026-03-06 12:45:46.524443+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (2.50 kW),0.6053,0,100,3
27252,2026-03-06 12:40:46.449323+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (2.11 kW),0.5768625,0,100,3
27250,2026-03-06 12:35:46.562869+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Täcker enbart husbehov (2.11 kW),0.5768625,0,100,3
